PURPOSE CODE,ACTIVITY CODE,DESCRIPTION,,
,13010.04,"Census work, vital registration",,
,13010.05,Migration data,,
,13010.06,Demographic research,,
,13010.07,Reproductive health research,,
13020,,Reproductive health care,,
,13020.01,"Reproductive health care, activity unspecified or does not fit elsewhere in group",,
,13020.02,Promotion of reproductive health,,
,13020.03,Prenatal and postnatal care including delivery,,
,13020.04,Prevention and treatment of infertility,,
,13020.05,Prevention and management of consequences of abortion,,
,13020.06,Safe motherhood activities,,
13030,,Family planning,,
,13030.01,"Family planning, activity unspecified or does not fit elsewhere in group",,
,13030.02,Family planning services,,
,13030.03,"Information, education and communication (IEC) activities",,
,13030.04,Delivery of contraceptives,,
,13030.05,Capacity building and training,,
13040,,STD control including HIV/AIDS,,
,13040.01,Unspecified STD and HIV/AIDS activities or does not fit elsewhere in group,,
,13040.02,"Information, education and communication",,
,13040.03,Testing,,
,13040.04,Prevention,,
,13040.05,"Treatment, care",,
13081,,Personnel development for population and reproductive health,,
,13081.01,"Staff education and training, P&R health care services",,
Water Supply and Sanitation,,,,
14000,,"Water Supply and Sanitation, combination of purposes",,
14005,,"Water Supply and Sanitation, purpose unspecified or does not fit under any other applicable codes",,
,14005.01,"Water Supply and Sanitation, activity unspecified or does not fit under any other applicable codes",,
14010,,Water resources policy and administrative management,,
,14010.01,"Water resources policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,14010.02,"Water sector policy, planning and programs",,
,14010.03,"Institution capacity building, Water",,
14015,,Water resources protection,,
,14015.01,"Water resources protection, activity unspecified or does not fit elsewhere in group",,
,14015.02,Inland surface waters,,
,14015.03,Conservation and rehabilitation of ground water,,
,14015.04,Prevention of water contamination,,
14020,,Water supply and sanitation - large systems,,
,14020.01,"Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group",,
,14020.02,Water desalination plants,,
,14020.03,Sewerage,,
,14020.04,"Intakes, storage, pumping stations, conveyance and distribution systems",,
,14020.05,Domestic and industrial waste water treatment plants,,
,14020.06,Water supply assessments and studies,,
14030,,Basic drinking water supply and basic sanitation,,
,14030.01,"Basic drinking water supply and basic sanitation, activity unspecified or does not fit elsewhere in group",,
,14030.02,"Water supply and sanitation, low-cost technologies",,
,14030.03,Small system sewerage,,
14040,,River development,,
,14040.01,"River development, activity unspecified or does not fit elsewhere in group",,
,14040.02,Integrated river basin projects,,
,14040.03,River flow control,,
,14040.04,Dams and reservoirs,,
14050,,Waste management/disposal,,
,14050.01,"Waste management/disposal, activity unspecified or does not fit elsewhere in group",,
,14050.02,Municipal and industrial solid waste management,,
,14050.03,"Collection, disposal and treatment",,
,14050.04,Landfill areas,,
,14050.05,Composting and reuse,,
14081,,Education and training in water supply and sanitation,,
,14081.01,All water supply and sanitation education/training activities,,
14082,,Water Research,,
,14082.01,All water research activities,,
,14082.02,Hydrogeology,,
Government and Civil Society,,,,
15000,,"Government and civil society, combination of activities",,
"Government and civil society, general",,,,
15100,,"Government and civil society, general, combination of activities",,
15105,,"Government and civil society, purpose unspecified or does not fit under any other applicable codes",,
,15105.01,"Government and civil society, activity unspecified or does not fit under any other applicable codes",,
15110,,Economic and development policy/planning,,
,15110.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",,
,15110.02,"Macro-economic, fiscal and monetary policy and planning",,
,15110.03,"Institutional capacity building, Government",,
,15110.04,Support to other ministries and government departments when sector cannot be specified,,
,15110.05,Development planning and preparation of structural reforms,,
15120,,Public sector financial management,,
,15120.01,"Public sector financial management, activity unspecified or does not fit elsewhere in group",,
,15120.02,Improving financial management systems,,
,15120.03,Tax assessment procedures,,
,15120.04,"Measures against waste, fraud and corruption",,
15130,,Legal and judicial development,,
,15130.01,"Legal and judicial development, activity unspecified or does not fit elsewhere in group",,
,15130.02,"Constitutional development, legal drafting",,
,15130.03,Institutional strengthening of legal and judicial systems,,
,15130.04,Legal training and education,,
,15130.05,Legal advice and services,,
,15130.06,Crime prevention,,
15140,,Government administration,,
,15140.01,"Government administration, activity unspecified or does not fit elsewhere in group",,
,15140.02,General government services not elsewhere specified,,
,15140.03,Systems of government,,
,15140.04,Civil service reform,,
,15140.05,Government infrastructure,,
15150,,Strengthening civil society,,
,15150.01,"Strengthening civil society, activity unspecified or does not fit elsewhere in group",,
,15150.02,Community participation and development,,
,15150.03,Cooperatives,,
,15150.04,Grassroots organizations,,
,15150.05,Other participatory planning and decision making procedures and institutions,,
,15150.06,Elections,,
,15150.07,Human rights,,
,15150.08,Free flow of information,,
,15150.09,Women's equality organizations and institutions,,
"Conflict prevention and resolution, peace and security",,,,
15200,,"Conflict prevention and resolution, peace and security, combinations of activities",,
15205,,"Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes",,
,15205.01,"Conflict prevention and resolution, peace and security, activity unspecified or does not fit under any other applicable codes",,
15210,,Security system management and reform,,
,15210.01,"Conflict prevention and resolution, peace and security, activity unspecified or does not fit elsewhere in group",,
,15210.02,Other security assistance,,
15220,,"Civilian peace-building, conflict prevention and resolution",,
,15220.01,Support for civilian peace-building activities,,
15230,,Post-conflict peace-building (UN),,
,15230.1,UN post-conflict peace-building activities,,
15240,,"Reintegration and small arms, light weapons (SALW) control",,
,15240.01,"Reintegration and SALW control, activity unspecified or does not fit elsewhere in this group",,
,15240.02,Reintegration of demobilized military personnel into the economy,,
,15240.03,Conversion of production facilities from military to civilian outputs,,
,15240.04,"Assistance to control, prevent and/or reduce the proliferation of SALW",,
15250,,Land mine clearance,,
,15250.01,Explosive mine removal,,
15261,,Child soldiers (Prevention and demobilization),,
,15261.01,"Child soldiers, activity unspecified or does not fit elsewhere in group",,
,15261.02,Support to prevent the recruitment of child soldiers,,
,15261.03,Support to demobilize child soldiers,,
Other Social Infrastructure And Services,,,,
16010,,Social/ welfare services,,
,16010.01,"Social/welfare services, activity unspecified or does not fit elsewhere in this group",,
,16010.02,Social legislation and administration,,
,16010.03,"Institution capacity building, social welfare services",,
,16010.04,Social security and other social schemes,,
,16010.05,Support for vulnerable groups,,
,16010.06,Social dimensions of structural adjustment,,
,16010.07,Culture and recreation,,
,16010.08,Statistical capacity building,,
,16010.09,Narcotics control,,
,16010.10,Social mitigation of HIV/AIDS,,
16020,,Employment policy and administrative management,,
,16020.01,"Employment policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,16020.02,Employment policy and planning,,
,16020.03,Labor law and labor unions,,
,16020.04,"Institution capacity building, employment",,
,16020.05,Support programs for unemployed,,
,16020.06,Occupational safety and health,,
,16020.07,Combating child labor,,
16030,,Housing policy and administrative management,,
,16030.01,"Housing policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,16030.02,"Housing sector policy, planning and programs",,
,16030.03,Low-cost housing,,
16050,,Multisector aid for social services,,
,16050.01,Basic multisector social services activities,,
16081,,"Other social infrastructure and services, education and training",,
,16081.01,All social services education/training activities,,
Economic Infrastructure and Services,,,,
Transport and Storage,,,,
21005,,"Transport and Storage, purpose unspecified or does not fit under any other applicable codes",,
,21005.01,"Transport and Storage, activity unspecified or does not fit under any other applicable codes",,
21010,,Transport policy and administrative management,,
,21010.01,"Transport and storage, activity unspecified or does not fit elsewhere in group",,
,21010.02,"Transport sector policy, planning and programs",,
,21010.03,"Institution capacity building, Transport",,
,21010.04,Aid to transport ministries,,
21020,,Road transport,,
,21020.01,"Road transport, activity unspecified or does not fit elsewhere in group",,
,21020.02,"Road infrastructure, road vehicles",,
,21020.03,Public transportation systems,,
21030,,Rail transport,,
,21030.01,"Rail transport, activity unspecified or does not fit elsewhere in group",,
,21030.02,"Rail infrastructure, rail equipment, locomotives, other rolling stock",,
,21030.03,"Light rail (tram), underground systems",,
21040,,Water transport,,
,21040.01,"Water transport, activity unspecified or does not fit elsewhere in group",,
,21040.02,"Harbors and docks, harbor guidance systems",,
,21040.03,Ocean ships and boats,,
,21040.04,River and other inland water transport,,
21050,,Air transport,,
,21050.01,"Air transport, activity unspecified or does not fit elsewhere in group",,
,21050.02,"Airports, airport guidance systems",,
,21050.03,"Airplanes, airplane maintenance equipment",,
21061,,Storage,,
,21061.01,Unspecified storage activities,,
21081,,Education and training in transport and storage,,
,21081.01,All transport education/training activities,,
Communications,,,,
22000,,"Communications, combinations of activities",,
22005,,"Communications, purpose unspecified or does not fit under any other applicable codes",,
,22005.01,"Communications, activity unspecified or does not fit under any other applicable codes",,
22010,,Communications policy and administrative management,,
,22010.01,"Communications policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,22010.02,"Communications sector policy, planning and programs",,
,22010.03,"Institution capacity building, Communications",,
,22010.04,Postal services development,,
22020,,Telecommunications,,
,22020.01,"Telecommunication, activity unspecified or does not fit elsewhere in group",,
,22020.02,Telephone networks,,
,22020.03,Telecommunication satellites,,
,22020.04,Earth stations,,
22030,,Radio/television/print media,,
,22030.01,Radio activities,,
,22030.02,Television activities,,
,22030.03,Print media activities,,
22040,,Information and communication technology (ICT),,
,22040.01,"Information and communication technology (ICT), activity unspecified or does not fit elsewhere in group",,
,22040.02,Computer hardware and software,,
,22040.03,Internet access,,
,22040.04,IT training,,
22081,,"Communications, education and training.",,
,22081.01,All communications education/training activities,,
Energy Generation and Supply,,,,
23000,,"Energy generation and supply, combinations of activities",,
23005,,"Energy generation and supply, purpose unspecified or does not fit under any other applicable codes",,
,23005.01,"Energy generation and supply, activity unspecified or does not fit under any other applicable codes",,
23010,,Energy policy and administrative management,,
,23010.01,"Energy policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,23010.02,"Energy sector policy, planning and programs",,
,23010.03,"Institution capacity building, Energy",,
,23010.04,Aid to energy ministries,,
,23010.05,Energy conservation,,
23020,,Power generation/non-renewable sources,,
,23020.01,"Power generation/non-renewable sources, activity unspecified or does not fit elsewhere in group",,
,23020.02,Oil-fired power plants,,
,23020.03,Gas-fired power plants,,
,23020.04,Coal-fired power plants,,
,23020.05,Nuclear power plants,,
,23010.06,Combined heat and power plants (CHP),,
23030,,Power generation/renewable sources,,
,23030.01,"Power generation/renewable sources, activity unspecified or does not fit elsewhere in group",,
,23030.02,Hydro-electric power plants,,
,23030.03,Geothermal energy,,
,23030.04,Solar energy,,
,23030.05,Wind power,,
,23030.06,Ocean power,,
,23030.07,Biomass,,
23040,,Electrical transmission/ distribution,,
,23040.01,"Electrical transmission/ distribution, activity unspecified or does not fit elsewhere in group",,
,23040.02,Electrical distribution from power source to end user,,
,23040.03,Transmission lines,,
23050,,Gas distribution,,
,23050.01,Gas distribution activities,,
,23050.02,Gas storage activities,,
23055,,Petroleum distribution and storage,,
,23055.01,Petroleum distribution,,
,23055.02,Petroleum storage,,
23081,,Energy education/training,,
,23081.01,All energy education/training activities,,
23082,,Energy research,,
,23082.01,All energy research activities,,
Banking and Financial Services,,,,
24000,,"Banking and financial services, combinations of activities",,
24005,,"Banking and financial services, purpose unspecified or does not fit under any other applicable codes",,
,24005.01,"Banking and financial services, activity unspecified or does not fit under any other applicable codes",,
24010,,Financial policy and administrative management,,
,24010.01,"Financial policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,24010.02,"Finance sector policy, planning and programs",,
,24010.03,"Institution capacity building, Financial",,
,24010.04,Financial markets and systems,,
24020,,Monetary institutions,,
,24020.01,All activities relating to monetary institutions,,
24030,,Formal sector financial intermediaries,,
,24030.01,"Other financial activities, or unspecified",,
,24030.02,All formal sector financial intermediaries,,
,24030.03,Credit lines,,
24040,,Informal/semi-formal financial intermediaries,,
,24040.01,"Informal/semi-formal financial intermediaries, activity unspecified or does not fit elsewhere in group",,
,24040.02,Micro-credit operations,,
,24040.03,Savings and credit co-operatives,,
24081,,Education/training in banking and financial services,,
,24081.01,All banking and financial services education/training activities,,
Business and Other Services,,,,
25010,,Business support services and institutions,,
,25010.01,"Business support services and institutions, activity unspecified or does not fit elsewhere in group",,
,25010.02,Support to trade and business associations,,
,25010.30,"Institution capacity building, Business",,
,25010.04,Business infrastructure,,
,25010.05,Legal and regulatory reform,,
,25010.06,Business information,,
,25010.07,Public-private sector networking,,
,25010.08,General support to private sector enterprises,,
25020,,Privatization,,
,25020.01,All state enterprise privatization activities,,
25081,,Business education and training,,
,25081.01,All business education/training activities,,
Production Sectors,,,,
"Agriculture, Forestry, Fishing",,,,
31000,,"Agriculture, combination of purposes in Agriculture, Forestry, Fishing",,
Agriculture,,,,
31100,,"Agriculture, combinations of purposes in Agriculture, Agro-industry, Agribusiness",,
31105,,"Agriculture, purpose unspecified or does not fit under any other applicable codes",,
,31105.01,"Agriculture, activity unspecified or does not fit under any other applicable codes",,
31110,,Agricultural policy and administrative management,,
,31110.01,"Agricultural policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,31110.02,"Agricultural sector policy, planning and programs",,
,31110.03,"Institution capacity building, Agriculture",,
,31110.04,Aid to agricultural ministries,,
,31110.05,Agrarian reform,,
31120,,Agricultural development,,
,31120.01,"Agricultural development, activity unspecified or does not fit elsewhere in group",,
,31120.02,Integrated agriculture projects,,
,31120.03,Farm development,,
,31120.04,Feeder roads,,
,31120.05,Agriculture infrastructure,,
,31120.06,Food crop production,,
,31120.07,Industrial crops/export crops,,
,31120.08,Livestock,,
,31120.09,Agricultural alternative development,,
31130,,Agricultural land resources,,
,31130.01,"Agricultural land resources, activity unspecified or does not fit elsewhere in group",,
,31130.02,Soil improvement,,
,31130.03,Drainage,,
,31130.04,Agriculture land surveys,,
,31130.05,Land reclamation,,
,31130.06,Erosion control,,
,31130.07,Desertification control,,
31140,,Agricultural water resources,,
,31140.01,"Agricultural water resources, activity unspecified or does not fit elsewhere in group",,
,31140.02,Irrigation,,
,31140.03,Reservoirs,,
,31140.04,Hydraulic structures,,
,31140.05,Ground water exploitation,,
31150,,Agricultural inputs,,
,31150.01,"Agricultural inputs, activity unspecified or does not fit elsewhere in group",,
,31150.02,Supply of seeds,,
,31150.03,Supply of fertilizers,,
,31150.04,Agricultural machinery/equipment,,
31181,,Agricultural education/training,,
,31181.01,"Formal education/training, Agriculture",,
,31181.02,Agricultural extension,,
31182,,Agricultural research,,
,31182.01,"Agricultural research, activity unspecified or does not fit elsewhere in group",,
,31182.02,All plant research activities,,
,31182.03,All livestock research activities,,
31191,,"Agricultural services, purpose",,
,31191.01,Agricultural services,,
,31191.02,Plant and post-harvest protection and pest control,,
,31191.03,Agricultural financial services,,
,31191.04,Agricultural co-operatives,,
,31191.05,Livestock/veterinary services,,
Forestry,,,,
31205,,"Forestry, purpose unspecified or does not fit under any other applicable codes",,
,31205.01,"Forestry, activity unspecified or does not fit under any other applicable codes",,
31210,,Forestry policy and administrative management,,
,31210.01,"Forestry policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,31210.02,"Forestry sector policy, planning and programs",,
,31210.03,"Institution capacity building, Forestry",,
,31210.04,Forest surveys,,
31220,,Forestry development,,
,31220.01,"Forestry development, activity unspecified or does not fit elsewhere in group",,
,31220.02,Afforestation and reforestation,,
,31220.03,Exploitation and utilization,,
,31220.04,Erosion control,,
,31220.05,Desertification control,,
,31220.06,Integrated forestry projects,,
,31220.07,Agro-forestry,,
,31220.08,Fuelwood/charcoal,,
31281,,Forestry education/training,,
,31281.01,All forestry education/training activities,,
31282,,Forestry research,,
,31282.01,"Forestry research, activity unspecified or does not fit elsewhere in group",,
31291,,Forestry services,,
,31291.01,"Forestry services, activity unspecified or does not fit elsewhere in group",,
,31291.02,Marketing policies and organization,,
,31291.03,Forestry financial services,,
Fishing,,,,
31300,,"Fishing, combination of activities",,
31305,,"Fishing, purpose unspecified or does not fit under any other applicable codes",,
,31305.01,"Fishing, activity unspecified or does not fit under any other applicable codes",,
31310,,Fishing policy and administrative management,,
,31310.01,"Fishing policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,31310.02,"Fishing sector policy, planning and programs",,
,31310.03,"Institution capacity building, Fishing",,
31320,,Fishery development,,
,31320.01,"Fishery development, activity unspecified or does not fit elsewhere in this group",,
,31320.02,Exploitation and utilization of fisheries,,
,31320.03,Fish stock protection,,
,31320.04,Aquaculture,,
,31320.05,Integrated fishery projects,,
31330,,Fishing Development,,
,31330.01,Ocean and coastal fishing,,
,31330.02,Marine and freshwater fish surveys and prospecting,,
,31330.03,Fishing boats/equipment,,
31381,,Fishery education/training,,
,31381.01,All fishery education/training activities,,
31382,,Fishery research,,
,31382.01,"Fishery research, activity unspecified or does not fit elsewhere in group",,
,31382.02,Pilot fish culture,,
,31382.03,Marine/freshwater biological research,,
31391,,Fishery services,,
,31391.01,"Fishery services, activity unspecified or does not fit elsewhere in group",,
,31391.02,Fishing harbors,,
,31391.03,Fishery financial services,,
,31391.04,Fish markets,,
,31391.05,Fishery transport and cold storage,,
"Industry, Mining, Construction",,,,
32000,,"Industry, combination of purposes Industry, Mining and Construction",,
Industry,,,,
32105,,"Industry, purpose unspecified (includes manufacturing of goods not specified below) or does not fit under any other applicable codes",,
,32105.01,"Industry, activity unspecified (includes manufacturing of goods not specified elsewhere) or does not fit under any other applicable codes",,
32110,,Industrial policy and administrative management,,
,32110.01,"Industrial policy and administrative management, activities unspecified or does not fit elsewhere in group",,
,32110.02,"Industrial sector policy, planning and programs",,
,32110.03,"Institution capacity building, Industry",,
32120,,Industrial development,,
,32120.01,"Industrial development, activity unspecified or does not fit elsewhere in group",,
,32120.02,Modernization and rehabilitation,,
,32120.03,Infrastructure,,
,32120.04,Integrated industry projects,,
,32120.05,"Investments, unspecified",,
,32120.06,Agro-industries,,
,32120.07,Forest industries,,
,32120.08,"Textiles, leather and substitutes",,
,32120.09,Chemicals,,
,32120.10,Fertilizer plants,,
,32120.11,Cement/lime/plaster,,
,32120.12,Energy manufacturing,,
,32120.13,Pharmaceutical production,,
,32120.14,"Basic metal industries, ferrous",,
,32120.15,Non-ferrous metal industries,,
,32120.16,Engineering,,
,32120.17,Transport equipment industry,,
32130,,Small and medium-sized enterprises (SME) development,,
,32130.01,"Support to SMEs, unspecified",,
,32130.02,"Accounting, auditing, advisory services",,
32140,,Cottage industries and handicraft,,
,32140.01,"Cottage industries and handicraft, activities",,
32181,,Industry education and training,,
,32181.01,All industry education and training activities,,
32182,,Technological research and development,,
,32182.01,All technological research and development activities,,
32191,,Industry services,,
,32191.01,"Industry services, activity unspecified or does not fit elsewhere in group",,
,32191.02,Marketing policies & organization,,
,32191.03,Industry financial services,,
,32191.04,Industrial co-operatives,,
Mineral resources and mining,,,,
32200,,"Mineral resources and mining, combination of purposes",,
32205,,"Mineral resources and mining, purpose unspecified or does not fit under any other applicable codes",,
,32205.1,"Mineral resources and mining, activity unspecified or does not fit under any other applicable codes",,
32210,,Mineral/mining policy and administrative management,,
,32210.01,"Mineral/mining policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,32210.02,"Mineral and mining sector policy, planning and programs",,
,32210.03,"Institution capacity building, Mineral resources and mining",,
,32210.04,"Mining legislation, mining cadastre, mineral resources inventory, information systems",,
32220,,Mineral/Metal prospection and exploration,,
,32220.1,"Mineral/Metal prospection and exploration, activity unspecified or does not fit elsewhere",,
,32220.02,Coal,,
,32220.03,Oil and gas,,
,32220.04,Ferrous metals,,
,32220.05,Nonferrous metals,,
,32220.06,Precious metals/materials,,
,32220.07,Industrial minerals,,
,32220.08,Fertilizer minerals,,
,32220.09,Offshore minerals,,
,32220.10,"Geology, geophysics, geochemistry",,
,32220.11,"Mineral extraction and processing, infrastructure, technology, economics, safety and environment management",,
32281,,Mining Education / Training,,
,32281.01,All mining education/training activities,,
Construction,,,,
32310,,Construction policy and administrative management,,
,32310.01,"Construction policy and administrative management, activity unspecified or does not fit elsewhere",,
,32310.02,"Institution capacity building, Construction",,
Trade policy and regulations,,,,
33100,,"Trade policy and regulations, combination of purposes",,
33105,,"Trade policy and regulations, purpose unspecified (includes trade and trade promotion activities) or does not fit under any other applicable codes",,
,33105.01,"Trade policy and regulations, activity unspecified (includes trade and trade promotion activities) or does not fit under any other applicable codes",,
33110,,Trade policy and administrative management,,
,33110.01,"Trade policy and administrative management, activity unspecified or does not fit elsewhere in this group",,
,33110.02,Trade policy and planning,,
,33110.03,"Institution capacity building, Trade",,
,33110.04,Trade-related legislation and regulatory reforms,,
,33110.05,Multilateral trade agreements,,
33120,,Trade facilitation,,
,33120.01,"Trade facilitation, activity unspecified or does not fit elsewhere in group",,
,33120.02,Simplification and harmonization of international import and export procedures,,
,33120.03,Support to customs departments,,
,33120.04,Tariff reforms,,
33130,,Regional trade agreements (RTAs),,
,33130.01,"Regional trade agreements (RTAs), activity unspecified or does not fit elsewhere in group",,
,33130.02,Support to regional trade arrangements,,
33140,,Multilateral trade negotiations,,
,33140.01,All multilateral trade negotiations activities,,
33181,,Trade education/training,,
,33181.01,All trade education/training activities,,
Tourism,,,,
33210,,Tourism policy and administrative management,,
,33210.01,"Tourism policy and administrative management, activities unspecified or does not fit elsewhere in this group",,
,33210.02,Tourism infrastructure,,
,33210.03,"Institutional capacity building, Tourism",,
,33210.04,Tourism education/training activities,,
Multi-Sector/Cross-Cutting,,,,
General Environmental Protection,,,,
41000,,"General environmental protection, combinations of purposes",,
41005,,"General environmental protection, purpose unspecified (includes miscellaneous conservation and protection measures not mentioned below) or does not fit under any other applicable codes",,
,41005.01,"General environmental protection, activity unspecified (includes miscellaneous conservation and protection measures not mentioned below) or does not fit under any other applicable codes",,
41010,,Environmental policy and administrative management,,
,41010.01,"Environmental policy and administrative management, activity unspecified or does not fit elsewhere in group",,
,41010.02,"Environmental policy, laws, regulations and economic instruments",,
,41010.03,"Institution capacity building, Environmental protection",,
41020,,Biosphere protection,,
,41020.01,"Biosphere protection, activity unspecified or does not fit elsewhere in group",,
,41020.02,Air pollution control,,
,41020.03,Marine pollution control,,
41030,,Bio-diversity,,
,41030.01,"Bio-diversity, activity unspecified or does not fit elsewhere in group",,
,41030.02,Natural reserves,,
,41030.03,Species protection,,
41040,,Site preservation,,
,41040.01,All site preservation activities,,
41050,,Flood prevention/control,,
